date,weekday,dayparts,owner,station,time,artist,title,release,grc,genre,ensemble,gender,race,city,b2b_gender
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,12:02:00 AM,"ALDEAN, JASON/LAMBERT, MIRANDA",Drowns The Whiskey,2018,G,c-,collab,male-female,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,12:05:00 AM,FLORIDA GEORGIA LINE,Long Live,2020,R,c-,duo,men,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,12:08:00 AM,"LAWRENCE, TRACY",Alibis,1993,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,12:11:00 AM,"MOORE, JUSTIN",With A Woman You Love,2021,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,12:13:00 AM,ZAC BROWN BAND,Whatever It Is,2008,G,c-,group,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,12:17:00 AM,"COMBS, LUKE",Doin' This,2021,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,12:21:00 AM,"BRYAN, LUKE","Huntin', Fishin' And Lovin'...",2015,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,12:26:00 AM,"HUNT, SAM",Body Like A Back Road,2017,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,12:29:00 AM,RASCAL FLATTS,Bless The Broken Road,2004,G,c-,trio,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,12:33:00 AM,"TRITT, TRAVIS",I'm Gonna Be Somebody,1989,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,12:37:00 AM,"SWINDELL, COLE/WILSON, LAINEY",Never Say Never,2021,R,c-,collab,male-female,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,12:41:00 AM,"RHETT, THOMAS",Country Again,2021,R,c-,solo,men,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,12:45:00 AM,"MORRIS, MAREN",My Church,2015,G,c-,solo,women,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,12:48:00 AM,"ALLAN, GARY",Nothing On But The Radio,2003,G,c-,solo,men,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,12:52:00 AM,"STELL, MATT",Everywhere But On,2019,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,12:55:00 AM,"STRAIT, GEORGE",How 'Bout Them Cowgirls,2006,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,12:58:00 AM,"SMITH, GRANGER",Backroad Song,2015,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,1:02:00 AM,"MCCREERY, SCOTTY",In Between,2018,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,1:06:00 AM,"YOUNG, BRETT",Lady,2020,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,1:09:00 AM,"BYRD, TRACY",Holdin' Heaven,1993,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,1:11:00 AM,"SCOTT, DYLAN",New Truck,2021,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,1:14:00 AM,"CHESNEY, KENNY","No Shoes, No Shirt, No ...",2002,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,1:17:00 AM,"JOHNSON, CODY",Til You Can't,2021,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,1:20:00 AM,"CURRINGTON, BILLY",Hey Girl,2013,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,1:25:00 AM,"CHURCH, ERIC",Heart On Fire,2021,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,1:29:00 AM,"UNDERWOOD, CARRIE",Cowboy Casanova,2009,G,c-,solo,women,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,1:33:00 AM,ALABAMA,Roll On (Eighteen Wheeler),1984,G,c-,group,men,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,1:37:00 AM,"URBAN, KEITH",Wild Hearts,2021,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,1:42:00 AM,"RODGERS, JAMESON/COMBS, LUKE",Cold Beer Calling…,2020,R,c-,collab,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KFKF-FM,1:46:00 AM,LADY ANTEBELLUM,Downtown,2013,G,c-,trio,male-female,white,KansasCity,X
